rank,company_name,domain,website,linkedin_company_url,hq_location,category,customer_size,b2c_b2b,service_model,domain_confidence
1,Epsilon (PeopleCloud Loyalty),epsilon.com,https://epsilon.com,linkedin.com/company/epsilon,US,Enterprise loyalty + data cloud,Enterprise,Both,Full-service (managed),verified
2,Capillary Technologies,capillarytech.com,https://capillarytech.com,linkedin.com/company/capillary-technologies,India / US,Enterprise loyalty + engagement AI,Enterprise,Both,Full-service + hybrid,verified
3,Comarch Loyalty Management,comarch.com,https://comarch.com,linkedin.com/company/comarch,Poland,Enterprise loyalty suite,Enterprise,Both,Full-service + hybrid,verified
4,Oracle CrowdTwist / Responsys,oracle.com,https://oracle.com,linkedin.com/company/oracle,US,Enterprise loyalty + marketing cloud,Enterprise,B2C,Hybrid (SI-led),verified
5,Salesforce Loyalty Management,salesforce.com,https://salesforce.com,linkedin.com/company/salesforce,US,CRM-native loyalty,Enterprise,Both,Hybrid (SI-led),verified
6,SAP Emarsys Loyalty,emarsys.com,https://emarsys.com,linkedin.com/company/emarsys,Austria / US,Omnichannel marketing + loyalty,Mid / Enterprise,B2C,Hybrid,verified
7,Marigold Loyalty (Cheetah Digital),meetmarigold.com,https://meetmarigold.com,linkedin.com/company/meet-marigold,US,Enterprise loyalty + messaging,Enterprise,B2C,Full-service + hybrid,verified
8,Kobie Marketing,kobie.com,https://kobie.com,linkedin.com/company/kobie-marketing,US,Enterprise loyalty (managed),Enterprise,Both,Full-service (managed),verified
9,Antavo,antavo.com,https://antavo.com,linkedin.com/company/antavo,UK / Hungary,No-code enterprise loyalty,Mid / Enterprise,Both,Hybrid (no-code + API),verified
10,Bond Brand Loyalty,bondbl.com,https://bondbl.com,linkedin.com/company/bond-brand-loyalty,Canada / US,Loyalty agency + platform,Enterprise,Both,Full-service (agency),verified
11,Kognitiv (Aimia),kognitiv.com,https://kognitiv.com,linkedin.com/company/kognitiv-corporation,Canada,Enterprise loyalty + AI,Enterprise,Both,Full-service + hybrid,verified
12,Merkle Loyalty,merkle.com,https://merkle.com,linkedin.com/company/merkle,US,Loyalty agency + tech,Enterprise,Both,Full-service (agency),verified
13,Brierley,brierley.com,https://brierley.com,linkedin.com/company/brierley-and-partners,US,Enterprise loyalty (managed),Enterprise,B2C,Full-service (managed),verified
14,Annex Cloud,annexcloud.com,https://annexcloud.com,linkedin.com/company/annex-cloud,US,Loyalty experience platform,Mid / Enterprise,Both,Hybrid,verified
15,Mastercard SessionM,mastercard.com,https://mastercard.com,linkedin.com/company/mastercard,US,Enterprise loyalty + data,Enterprise,B2C,Full-service + hybrid,verified
16,Loyalty Juggernaut (GRAVTY),lji.io,https://lji.io,linkedin.com/company/loyalty-juggernaut,US / India,Cloud-native enterprise loyalty,Enterprise,Both,Hybrid,verified
17,Loyalty Prime,loyaltyprime.com,https://loyaltyprime.com,linkedin.com/company/loyalty-prime,Germany,Enterprise loyalty platform,Enterprise,Both,Hybrid,verified
18,Zinrelo,zinrelo.com,https://zinrelo.com,linkedin.com/company/zinrelo,US / India,Mid-market loyalty SaaS,Mid,Both,Hybrid (managed onboarding),verified
19,Ansira,ansira.com,https://ansira.com,linkedin.com/company/ansira,US,Distributed marketing + loyalty,Enterprise,Both,Full-service (agency),verified
20,ICF Next,icf.com,https://icf.com,linkedin.com/company/icf,US,Loyalty consultancy + platform,Enterprise,Both,Full-service (agency),verified
21,Maritz Motivation,maritzmotivation.com,https://maritzmotivation.com,linkedin.com/company/maritz,US,Loyalty & incentive solutions,Enterprise,Both,Full-service (managed),verified
