Account Name,Account Stage,Account Website
Epsilon,Cold,www.epsilon.com
Capillary Technologies,Cold,www.capillarytech.com
Comarch Loyalty Management,Cold,www.comarch.com
Oracle CrowdTwist,Cold,www.oracle.com
Salesforce Loyalty Management,Cold,www.salesforce.com
SAP Emarsys Loyalty,Cold,www.emarsys.com
Marigold Loyalty,Cold,www.meetmarigold.com
Kobie Marketing,Cold,www.kobie.com
Antavo,Cold,www.antavo.com
Bond Brand Loyalty,Cold,www.bondbl.com
Kognitiv,Cold,www.kognitiv.com
Merkle Loyalty,Cold,www.merkle.com
Brierley,Cold,www.brierley.com
Annex Cloud,Cold,www.annexcloud.com
Mastercard SessionM,Cold,www.mastercard.com
Loyalty Juggernaut,Cold,www.lji.io
Loyalty Prime,Cold,www.loyaltyprime.com
Zinrelo,Cold,www.zinrelo.com
Ansira,Cold,www.ansira.com
ICF Next,Cold,www.icf.com
Maritz Motivation,Cold,www.maritzmotivation.com
Collinson,Cold,www.collinsongroup.com
Splio,Cold,www.splio.com
Eagle Eye Solutions,Cold,www.eagleeye.com
Talon.One,Cold,www.talon.one
Voucherify,Cold,www.voucherify.io
Open Loyalty,Cold,www.openloyalty.io
White Label Loyalty,Cold,www.whitelabel-loyalty.com
Punchh,Cold,www.punchh.com
Paytronix,Cold,www.paytronix.com
Thanx,Cold,www.thanx.com
Como,Cold,www.como.com
Spendgo,Cold,www.spendgo.com
Incentivio,Cold,www.incentivio.com
Toast Loyalty,Cold,www.toasttab.com
Square Loyalty,Cold,www.squareup.com
Clover Rewards,Cold,www.clover.com
Lightspeed Loyalty,Cold,www.lightspeedhq.com
TouchBistro Loyalty,Cold,www.touchbistro.com
Bikky,Cold,www.bikky.com
LevelUp,Cold,www.thelevelup.com
Snipp Interactive,Cold,www.snipp.com
TADA,Cold,www.usetada.com
Jebbit,Cold,www.jebbit.com
SheerID,Cold,www.sheerid.com
Fetch Rewards,Cold,www.fetch.com
Ibotta,Cold,www.ibotta.com
Shopkick,Cold,www.shopkick.com
Bubblehouse,Cold,www.bubblehouse.com
360insights,Cold,www.360insights.com
Extole,Cold,www.extole.com
Mention Me,Cold,www.mention-me.com
Friendbuy,Cold,www.friendbuy.com
Ambassador,Cold,www.getambassador.com
Referral Rock,Cold,www.referralrock.com
ReferralCandy,Cold,www.referralcandy.com
Cardlytics,Cold,www.cardlytics.com
Figg,Cold,www.figg.com
Kigo,Cold,www.prizeout.com
Dosh,Cold,www.dosh.com
Upside,Cold,www.upside.com
Augeo,Cold,www.augeomarketing.com
Fidel API,Cold,www.fidelapi.com
Bink,Cold,www.bink.com
Kard,Cold,www.getkard.com
Rewards Network,Cold,www.rewardsnetwork.com
Smile.io,Cold,www.smile.io
LoyaltyLion,Cold,www.loyaltylion.com
Yotpo Loyalty,Cold,www.yotpo.com
Stamped,Cold,www.stamped.io
Growave,Cold,www.growave.io
Rivo,Cold,www.rivo.io
Marsello,Cold,www.marsello.com
Nector,Cold,www.nector.io
Okendo,Cold,www.okendo.io
BON Loyalty,Cold,www.bonloyalty.com
Joy Loyalty,Cold,www.joy.so
Loloyal,Cold,www.loloyal.com
Froonze,Cold,www.froonze.com
Gameball,Cold,www.gameball.co
AiTrillion,Cold,www.aitrillion.com
Appstle Loyalty,Cold,www.appstle.com
Influence.io,Cold,www.influence.io
Toki,Cold,www.buildwithtoki.com
Sway,Cold,www.swayloyalty.com
Loyoly,Cold,www.loyoly.io
Fivestars,Cold,www.fivestars.com
TapMango,Cold,www.tapmango.com
Kangaroo Rewards,Cold,www.kangaroorewards.com
Belly,Cold,www.mobivity.com
Perkville,Cold,www.perkville.com
Preferred Patron,Cold,www.preferredpatron.com
Loyalzoo,Cold,www.loyalzoo.com
S Loyalty,Cold,www.sloyalty.com
Loopy Loyalty,Cold,www.loopyloyalty.com
Loyverse,Cold,www.loyverse.com
Guusto,Cold,www.guusto.com
Boomerangme,Cold,www.boomerangme.co
Stamp Me,Cold,www.stampme.com
Reelo,Cold,www.reelo.io
Novus Loyalty,Cold,www.novusloyalty.com
Loyalty Gator,Cold,www.loyaltygator.com
Piggy,Cold,www.piggy.eu
Loyax,Cold,www.loyax.com
Blackhawk Network,Cold,www.blackhawknetwork.com
Tango,Cold,www.tangocard.com
Tremendous,Cold,www.tremendous.com
Giftbit,Cold,www.giftbit.com
BHN Rewards,Cold,www.bhnrewards.com
Xoxoday Plum,Cold,www.xoxoday.com
Giift,Cold,www.giift.com
Empuls,Cold,www.empuls.io
Awardco,Cold,www.award.co
BI Worldwide,Cold,www.biworldwide.com
Bunchball,Cold,www.bunchball.com
dunnhumby,Cold,www.dunnhumby.com
Ecrebo,Cold,www.ecrebo.com
Coniq,Cold,www.coniq.com
Aislelabs,Cold,www.aislelabs.com
BrandLoyalty,Cold,www.brandloyalty-int.com
Currency Alliance,Cold,www.currencyalliance.com
Points.com,Cold,www.points.com
Plusgrade,Cold,www.plusgrade.com
Switchfly,Cold,www.switchfly.com
Sabre Loyalty,Cold,www.sabre.com
Amadeus Loyalty,Cold,www.amadeus.com
PAYBACK,Cold,www.payback.net
PassKit,Cold,www.passkit.com
Uniqodo,Cold,www.uniqodo.com
Qixol,Cold,www.qixol.com
Talkable,Cold,www.talkable.com
Buyapowa,Cold,www.buyapowa.com
SaaSquatch,Cold,www.saasquatch.com
Genius Referrals,Cold,www.geniusreferrals.com
InviteReferrals,Cold,www.invitereferrals.com
Duel,Cold,www.duel.tech
Social Seeder,Cold,www.socialseeder.com
Vibes,Cold,www.vibes.com
Vibenomics,Cold,www.vibenomics.com
Antsomi,Cold,www.antsomi.com
MoEngage,Cold,www.moengage.com
CleverTap,Cold,www.clevertap.com
WebEngage,Cold,www.webengage.com
Optimove,Cold,www.optimove.com
Zeta Marketing Platform,Cold,www.zetaglobal.com
PDI Technologies,Cold,www.pditechnologies.com
SpotOn,Cold,www.spoton.com
Apex Loyalty,Cold,www.apexloyalty.com
Loyal Guru,Cold,www.loyal.guru
Reward360,Cold,www.reward360.io
