Company,Revenue (Approx. Annual),URL,Industry
Warby Parker,$770M,https://www.warbyparker.com,Eyewear Retail
FIGS,$555M,https://www.wearfigs.com,Medical Apparel
Duluth Trading Company,$700M,https://www.duluthtrading.com,Apparel & Outdoor Retail
Vera Bradley,$470M,https://www.verabradley.com,Handbags & Accessories
Build-A-Bear Workshop,$500M,https://www.buildabear.com,Specialty Retail
Kirkland's Home,$490M,https://www.kirklands.com,Home Decor Retail
The Lovesac Company,$700M,https://www.lovesac.com,Furniture
Purple Innovation,$490M,https://www.purple.com,Mattresses & Bedding
Citi Trends,$750M,https://www.cititrends.com,Value Apparel Retail
Cato Fashions,$790M,https://www.catofashions.com,Apparel Retail
Tilly's,$580M,https://www.tillys.com,Apparel Retail
Zumiez,$900M,https://www.zumiez.com,Action Sports Apparel
J.Jill,$610M,https://www.jjill.com,Women's Apparel
Destination XL Group,$500M,https://www.dxl.com,Men's Big & Tall Apparel
Torrid,$1.1B,https://www.torrid.com,Plus-Size Apparel
Revolve Group,$1.1B,https://www.revolve.com,Fashion E-commerce
The RealReal,$600M,https://www.therealreal.com,Luxury Resale
Ethan Allen,$650M,https://www.ethanallen.com,Furniture Retail
Havertys,$720M,https://www.havertys.com,Furniture Retail
The Container Store,$960M,https://www.containerstore.com,Home Organization Retail
Big 5 Sporting Goods,$850M,https://www.big5sportinggoods.com,Sporting Goods Retail
Hamilton Beach Brands,$600M,https://www.hamiltonbeach.com,Housewares
Lifetime Brands,$680M,https://www.lifetimebrands.com,Housewares
Hooker Furnishings,$430M,https://www.hookerfurnishings.com,Home Furnishings
Flexsteel Industries,$410M,https://www.flexsteel.com,Furniture
Solo Brands,$490M,https://www.solobrands.com,Outdoor DTC
Traeger,$600M,https://www.traeger.com,Grills & Outdoor Cooking
Cricut,$700M,https://www.cricut.com,Consumer Crafting Tech
GoPro,$800M,https://www.gopro.com,Consumer Electronics
iRobot,$680M,https://www.irobot.com,Consumer Robotics
VOXX International,$500M,https://www.voxxintl.com,Consumer Electronics
Turtle Beach,$380M,https://www.turtlebeach.com,Gaming Accessories
Movado Group,$650M,https://www.movado.com,Watches & Accessories
